"","p_val","avg_log2FC","p_val_adj"
"HIST1H2BD",4.96335746854352e-10,1.28182538645252,2.30746488712588e-06
"NEB",1.70693762369361e-09,0.879456859699735,3.96777650627579e-06
"DHRS3",3.17708706154575e-08,1.45912547424056,4.92342591637539e-05
"LGI1",4.47365043263644e-08,0.554990022524043,5.1995002153317e-05
"WFIKKN1",1.03820924897174e-07,1.42548664135916,9.65326959693922e-05
"CDK2AP2",1.25413615183036e-07,1.12658316020374,9.71746494976554e-05
"CHRM3",7.23884135526775e-07,-0.0926219379910249,0.000471591501568245
"SHQ1",8.1151473705011e-07,0.432809092768855,0.000471591501568245
"RAB39A",9.84479857908299e-07,1.31312704430829,0.000508538539935076
"KATNAL2",1.32047799522689e-06,0.48103216853857,0.000613890219980983
"DYRK3",2.03722754574003e-06,0.667266916973767,0.000861006441831399
"EBI3",2.64947510239161e-06,1.64059773143337,0.00102645081258488
"ADGRF5",8.29368207788156e-06,0.630421434393042,0.00277968523547412
"CASP7",8.37074495518126e-06,2.24402694867195,0.00277968523547412
"CASS4",9.42215963373173e-06,1.23186202670085,0.00292024134248125
"MTSS1",1.06569336477835e-05,-0.27627198714064,0.0030965052830341
"STARD13",1.34968784813159e-05,-0.213629603043762,0.00348594378109097
"SSC5D",1.28893134417823e-05,0.896084724284222,0.00348594378109097
"GADD45B",1.57119322312615e-05,3.5576957852758,0.00383160320759556
"SLA2",1.64835586474319e-05,0.749371981294053,0.00383160320759556
"SFTPC",2.07630870686127e-05,1.06696434863199,0.00438761780827183
"PCBD1",2.06299898293337e-05,0.91735092835916,0.00438761780827183
"EPM2A",2.48056180823269e-05,-0.372443141369882,0.00501397036803208
"SLC7A1",2.7757829435093e-05,0.570398246120614,0.0053769228768228
"GRAMD1C",3.65591713965293e-05,0.501913880371314,0.00629494769712833
"ITGA11",3.6265441356511e-05,1.16630722910954,0.00629494769712833
"FAM13C",3.39837380757775e-05,-0.236121352279697,0.00629494769712833
"HMCN2",5.12431520731094e-05,1.70717558851308,0.00694551383143307
"ALDH1A2",5.26876523003152e-05,-0.632583448120559,0.00694551383143307
"RNF43",5.33322047642099e-05,0.996576579806157,0.00694551383143307
"C9orf153",4.96725337801736e-05,0.810260020086001,0.00694551383143307
"MAP3K5",5.37832862834137e-05,0.400765141259204,0.00694551383143307
"CORIN",5.19895761055362e-05,1.00799700471508,0.00694551383143307
"DNAH12",4.20813179226765e-05,0.896524942885882,0.00694551383143307
"TMEM115",4.58726078674888e-05,0.869026492611109,0.00694551383143307
"HSPA4L",5.01119699553223e-05,0.474289268868256,0.00694551383143307
"MAF",9.74255893108849e-05,3.06002874887384,0.0111585702420904
"LIMK2",9.09090238092414e-05,0.406012396341687,0.0111585702420904
"PROS1",9.44119655040651e-05,0.437172302041139,0.0111585702420904
"ASAP3",9.84085566628754e-05,0.819439088712781,0.0111585702420904
"RUVBL2",9.48832112029578e-05,0.77206351567348,0.0111585702420904
"MVB12B",0.000113349644528745,-0.33974539035207,0.0122549418003287
"POLR2J",0.000111873779616442,1.1851620594784,0.0122549418003287
"RFPL3S",0.000119415435341588,1.40156150505445,0.0126173263387055
"RASGRP2",0.000144554806539491,0.594473496920454,0.0146514263110482
"DNAJC3",0.000147786206334174,0.286001649784469,0.0146514263110482
"JAM2",0.000148121539388958,0.706763391500989,0.0146514263110482
"SMO",0.000155389448148975,0.914078869203475,0.0150501155092622
"KCTD4",0.000160894641763704,1.80143833598438,0.0152652895828461
"UQCRHL",0.000174406217055539,2.1930335083019,0.016216290061824
"MYO18A",0.000181158824798434,-0.344897896193109,0.0165138701272141
"CPPED1",0.000204904707427113,-0.560955362067027,0.0180789356966816
"AC005355.1",0.00020610531123341,0.81680353901903,0.0180789356966816
"UQCR10",0.000226257239330689,0.84577825127756,0.0194790723268217
"SDF2L1",0.000231094590446135,3.01324108999982,0.0195337954724379
"HERPUD1",0.000240599311697242,0.657276702431337,0.0196548430462664
"DOHH",0.000249437672559629,0.730435211692314,0.0196548430462664
"ZNF704",0.000246845638474791,-0.262760764102637,0.0196548430462664
"FGF10",0.000243598976479809,1.75128593877938,0.0196548430462664
"TMEM79",0.000256440343259997,1.09658842503761,0.0198698525969288
"SHMT2",0.000266372061053382,1.1495163418981,0.0200113891310167
"ANKRD9",0.000266875914416656,0.72083421676863,0.0200113891310167
"AHCYL1",0.000288852823900939,0.382533487833025,0.0209552686590611
"XBP1",0.000287914145751657,0.926471900648449,0.0209552686590611
"SGTA",0.000292986118055275,0.508511471413382,0.0209552686590611
"NEFH",0.000299039534469614,0.746473796232793,0.0210641635719581
"GPAM",0.000315205382485967,0.439189190511054,0.0216778388695527
"AR",0.000321740348892049,0.989847672043923,0.0216778388695527
"MRPL2",0.000320724891759389,0.621164237426008,0.0216778388695527
"TCAP",0.00033358598080053,0.916741825786539,0.0221548746391667
"ADAM8",0.000346543730449139,0.841184492705116,0.0226912929980007
"PPM1E",0.00035555257409464,0.235708278502276,0.0229578321800831
"STXBP5-AS1",0.00037107444570532,0.320388664006667,0.0233125013254599
"SAV1",0.000368146163312482,0.36211993849234,0.0233125013254599
"NFIL3",0.000377496797543345,0.658478414779307,0.0233997681570535
"MANF",0.000413044747673099,1.04789363905723,0.0252663819991084
"PIP5K1B",0.000426798688032496,0.354710417306955,0.025768663644975
"CLDN9",0.000474926768728909,1.01400273583451,0.0280387707754938
"WDR24",0.000479787915920007,0.84877552344998,0.0280387707754938
"CACYBP",0.000482491215753819,0.665420100456237,0.0280387707754938
"NDP",0.000547272054529234,0.660994701860443,0.031410713351931
"ZNF621",0.00055439275643601,-0.607693256684396,0.0314313649350123
"PLEKHA5",0.000616014497909952,0.160123613489325,0.0345042337443779
"CCT7",0.000623760273661838,0.600775728170312,0.0345221608601653
"KIF6",0.000780118798069113,-1.05173480973332,0.0370078805328909
"PIK3CG",0.000745130033032705,1.41530559386447,0.0370078805328909
"RAB3C",0.000772895381775901,0.308725990682811,0.0370078805328909
"YPEL3",0.000768294775284298,0.547526918220625,0.0370078805328909
"TGFBR3L",0.000772888759287387,1.2064781895732,0.0370078805328909
"GLUD1",0.000679693510910291,0.27345748226011,0.0370078805328909
"RAPGEF1",0.000758256985908545,-0.300728613601287,0.0370078805328909
"CHRNA5",0.000740475603539112,1.09596358195716,0.0370078805328909
"FRMD3",0.000768333235662714,-0.26808814597847,0.0370078805328909
"TECR",0.00069168473640608,0.743817959885237,0.0370078805328909
"SPSB4",0.000697858292965754,1.45565504543672,0.0370078805328909
"OARD1",0.00074874418300736,-0.391348080427085,0.0370078805328909
"ANKMY1",0.00073437930352394,-0.629545371465448,0.0370078805328909
"RANBP2",0.000723745965621237,0.325462770058682,0.0370078805328909
"CACNB2",0.000813739291086413,0.275923770722548,0.038212868325866
"TEAD1",0.00089674128706544,-0.253335384282311,0.0408720612114434
"WWP2",0.000896289968674499,-0.302656980229837,0.0408720612114434
"PGK1",0.000880786887068937,0.580727289797837,0.0408720612114434
"DCXR",0.000913020479611565,1.89681252974136,0.0412100214535356
"RALGPS2",0.000923179559962992,0.167015476696206,0.0412679016756533
"PLCH1",0.000959140504496114,0.581259702295826,0.0424670876704994
"CCNA2",0.000998848184612258,0.750598701924823,0.0433985533669382
"MCMDC2",0.000994462635162507,0.792546212179895,0.0433985533669382
"LINC00159",0.00101505503049752,0.552524604132007,0.0436943595998422
"BACE2",0.00110671163711823,0.708286880302031,0.0472027743207585
"DDIT3",0.00113533675668196,1.01468358769413,0.0479834598346767
"PES1",0.00117303332028629,0.71018798245198,0.0491300171712698
"LINC00987",0.00119332948694732,0.659029716091902,0.049533828435876
"MFSD2A",0.00126495867968122,0.933954729283599,0.0498372279816778
"RHOG",0.00123357090267432,2.41749690687063,0.0498372279816778
"KEL",0.00122131289042711,-1.00371467187486,0.0498372279816778
"GMIP",0.00125778124295599,-0.699881311956387,0.0498372279816778
"CENPP",0.00126084775325544,-0.373457629564739,0.0498372279816778
"PCDH8",0.00122805543675457,1.47566888902121,0.0498372279816778
"NES",0.00130033473881852,2.64979582528277,0.0503771350063943
"FAM157C",0.00129628362236649,1.27930294854655,0.0503771350063943
"STK17B",0.00133440022592395,1.52344744306282,0.0512696417381857
"CITED4",0.00135051754725003,0.910305682832361,0.0514635744029951
"TACR1",0.00139548305301547,0.772358017669609,0.0526127071265292
"THBS4",0.00140330730989237,0.350352567801108,0.0526127071265292
"LINC00601",0.00142777716310508,-2.84200765324897,0.0531018882502041
"LPAR1",0.00148890184157482,-2.97532959678835,0.0541520697653933
"NAV1",0.00149184643135537,-0.237448110368958,0.0541520697653933
"GRK7",0.00150260636690379,1.24763487749497,0.0541520697653933
"ZFAND2A",0.00146847750926068,0.708003113032842,0.0541520697653933
"TMEFF2",0.00153473988628578,-0.170798018334202,0.0547309902903086
"RAP2C-AS1",0.00156181506442116,-0.579532135643554,0.0547309902903086
