"","p_val","avg_log2FC","p_val_adj"
"FGF12",4.88347316994402e-07,-0.201763303259437,0.00113027986518354
"ERC2",3.27297924863735e-07,-0.2224213084072,0.00113027986518354
"COPE",1.22308477668374e-06,0.955609928393232,0.00188721981042301
"CASS4",6.76501767731892e-06,1.69171519820622,0.00782881670707732
"MFSD2A",6.65128081153986e-05,1.52821447416531,0.0347173638903032
"C4orf48",6.73907973103128e-05,3.35165913157442,0.0347173638903032
"GRB2",7.4698561546394e-05,0.441275598678583,0.0347173638903032
"SNX17",9.74996177519856e-05,1.14649740184687,0.0347173638903032
"C9orf153",9.6397858390386e-05,1.54980219489575,0.0347173638903032
"SCARB2",4.49395225830735e-05,0.429137155799442,0.0347173638903032
"MPP5",6.68029893896278e-05,0.527729969480169,0.0347173638903032
"DTX2",8.93517839770618e-05,1.98242137069965,0.0347173638903032
"KLRD1",9.53936455386681e-05,0.938919872077741,0.0347173638903032
"CUTA",0.000115271057166607,1.81057806777551,0.035787190558921
"NUDT17",0.000115966268823464,2.93861391000904,0.035787190558921
"RBM42",0.000127235322576755,1.36554255761229,0.0368107692629875
"PLAUR",0.00014335877696858,1.22069451295061,0.0390357516816211
"DHRS3",0.000154482990220782,1.01114934105917,0.0397278756517777
"CYP39A1",0.000163363430189299,1.79408047492674,0.0398004904392772
"RAB3C",0.000239392249870834,0.359521091312282,0.0421394513657369
"HLA-C",0.000191849329453932,3.09721098634891,0.0421394513657369
"PRKD1",0.000245790707901252,0.289218570011631,0.0421394513657369
"MIIP",0.000243600047555373,1.68020218267234,0.0421394513657369
"AURKAIP1",0.000197164454779596,1.62964255617914,0.0421394513657369
"MORC4",0.00022427848657816,1.02243093754452,0.0421394513657369
"TMEM147",0.000201346818229498,1.62680982554221,0.0421394513657369
"ACER2",0.000231163374346695,0.729387300267273,0.0421394513657369
"FIBP",0.000273646192860182,0.939989834475009,0.043404687688335
"STARD13",0.000277869138210713,-0.1941491364151,0.043404687688335
"ENO1",0.000281300633106513,1.03624424569373,0.043404687688335
"KPNA2",0.000300272687465733,0.967586866816119,0.0448374925896412
"OMG",0.000326469029168951,0.812251836005872,0.047225785500721
"RGS2",0.000385424677587493,1.10655049696332,0.0500896879311823
"RFPL3S",0.000360196453912778,1.70906302952301,0.0500896879311823
"RANGRF",0.000389550392206214,1.4002239147691,0.0500896879311823
"IDH3G",0.000383070819376567,1.20436417909144,0.0500896879311823
"UNC5B",0.00042034239122732,-2.33306486639199,0.0512043402366122
"SHQ1",0.000415746777311174,0.611700835880454,0.0512043402366122
"AIP",0.000508849037442661,1.61595758152356,0.0588865548580519
"PPP1R42",0.000500594825123027,0.915721835371679,0.0588865548580519
"CTNNA1",0.000551445127923235,0.713711472377268,0.0617098628981573
"UQCC3",0.000559908023703307,1.62275388511054,0.0617098628981573
"AC002066.1",0.000661653642069342,1.05406961183449,0.0665824936769344
"LINC01182",0.000654240377686294,-1.61922361294855,0.0665824936769344
"C5AR2",0.000636350857373763,1.32541217340294,0.0665824936769344
"CCDC59",0.000649384206630937,0.58924789531518,0.0665824936769344
"WWTR1",0.000737833523924401,0.574161005149147,0.0707532213461667
"CD63",0.000748953952465363,3.57799253958544,0.0707532213461667
"ATG101",0.000748316219445895,1.37293333739148,0.0707532213461667
"CACNB2",0.000814458635244362,0.138908416376891,0.0721164553394594
"ATP6AP1",0.000784623998994038,1.15559490886186,0.0721164553394594
"EPB41L3",0.000825701476126884,0.252311029922482,0.0721164553394594
"RUNDC3A",0.000800905750555566,0.578949804434434,0.0721164553394594
"MDGA2",0.000864910833930905,-0.196179714079605,0.0741420787086326
"ADGRF3",0.000916335449088286,0.986645627966115,0.0771221235241759
"PSMD8",0.000939049629557433,1.3024663606153,0.0776225131289528
"NR2F1-AS1",0.000999197217365805,-0.251670323124782,0.0811453319155494
"ITPKB",0.00111931498567913,-3.1018238640335,0.0862754066175141
"RPL28",0.00114894116814448,1.4601752031702,0.0862754066175141
"GSTP1",0.00119299820726786,2.56330316393008,0.0862754066175141
"HSPH1",0.00112186460498577,0.787923682839099,0.0862754066175141
"ATP6V0B",0.00116514954294906,1.07841554708369,0.0862754066175141
"TSSC4",0.00117593104172193,1.30076451873923,0.0862754066175141
"TMPRSS9",0.00123010949163014,1.1580445670161,0.0862754066175141
"GCLC",0.00114069802496698,-0.472126649608632,0.0862754066175141
"FANCL",0.00121315525331623,0.251766853955024,0.0862754066175141
"SNAP23",0.00127800526936705,0.615251950068356,0.0882968118194039
"LINC01208",0.0013119618936852,-1.35827853671494,0.0893098765568938
"LRIG1",0.00136820172090919,-1.37126917961031,0.090477225229838
"CASP7",0.00135711675556575,2.4538231044158,0.090477225229838
"HSPA4L",0.00143936048822986,0.739906578653401,0.0938422492960006
"UQCR10",0.00150741204436162,1.06566066551977,0.0958250947372498
"NFKBID",0.00151117561370042,0.986503674995165,0.0958250947372498
"RPS5",0.00177569065376138,2.12215343932589,0.0962643628596041
"CD81",0.00202699805824197,1.62076188448912,0.0962643628596041
"RCAN3",0.00199866049084655,-2.40447366001833,0.0962643628596041
"NDUFB11",0.00193876721630366,2.11567046577062,0.0962643628596041
"MANF",0.0017302637961128,1.77399587733772,0.0962643628596041
"EFNA1",0.00196795650682992,2.46398593229845,0.0962643628596041
"TBCB",0.00172796875584126,0.874987629647008,0.0962643628596041
"TIMM10",0.0015515541158361,2.23451193261164,0.0962643628596041
"PDLIM3",0.00195173484828934,-1.35552307994417,0.0962643628596041
"BCL11A",0.00180023666423552,-0.181042931321833,0.0962643628596041
