"","p_val","avg_log2FC","p_val_adj"
"CEBPB",3.11325080783311e-11,0.956548366987229,1.39286841142453e-07
"TPD52L2",2.26474235329429e-08,0.433161510867671,5.06622864431933e-05
"GLDN",2.02760796484145e-07,-0.998419427933235,0.000181430360694013
"AC007325.4",1.81009489549586e-07,2.05450897766424,0.000181430360694013
"CCNJL",1.51606353907816e-07,-0.476170673062436,0.000181430360694013
"SRSF5",2.84324506521769e-07,0.540718733803835,0.000212011307029733
"PNCK",5.59976806846008e-07,0.667435689474781,0.000357905176261291
"HAPLN2",6.8405266143632e-07,1.74276421137384,0.000382556450908262
"PPDPF",1.30528008229526e-06,1.13877185517738,0.000648869232020998
"MB21D2",1.79700628636742e-06,-0.460493476836961,0.000803980612520786
"BAALC-AS1",3.01831918148817e-06,1.04117482572379,0.000900264001198539
"DDX5",2.92353901890792e-06,0.336747927160751,0.000900264001198539
"SDR39U1",2.70449845315109e-06,0.924519487134727,0.000900264001198539
"XBP1",2.56404184758567e-06,0.856347482295086,0.000900264001198539
"MRPL28",2.67670119390342e-06,0.984426117667423,0.000900264001198539
"DNAH14",3.56483560136188e-06,-0.285357365739712,0.000996817155030816
"MT3",4.8091204702275e-06,2.94723086596493,0.00126564735198811
"CTSA",5.20552933338301e-06,0.611987009354964,0.00129386323541975
"SPP1",7.26052508820859e-06,2.81603888569316,0.00170966259182343
"PHYHIP",8.40442390656377e-06,1.38930011021705,0.00188006962789832
"STK11IP",1.21838114051042e-05,1.03723166836468,0.00244878623879805
"NDUFS7",1.25887535745094e-05,1.0866245054767,0.00244878623879805
"FAM157C",1.22706487738088e-05,1.78003585578314,0.00244878623879805
"GPN1",1.38859718347542e-05,0.687350715538705,0.0025885765828621
"KLHL17",1.64435050618637e-05,1.28211313590089,0.00294272966587113
"FLNA",1.84301092050258e-05,1.02608147223101,0.00294486816368876
"MTFR1",1.81678843384555e-05,0.500028880134349,0.00294486816368876
"HIST1H2BE",1.77437198110926e-05,1.1562495984644,0.00294486816368876
"CTNNA1",2.60526974246383e-05,0.5205806558753,0.00401930235440799
"SRPK3",3.88753863947529e-05,0.886927590291417,0.00579761595767082
"HIGD1C",4.23337471769349e-05,1.23054013536717,0.00610971564095505
"CRYAB",4.97184940462573e-05,3.45729416144618,0.00695126694884235
"MAT2A",5.14910323892381e-05,0.545811921949933,0.00698093572452883
"SERPINE2",5.76363374774336e-05,2.44407080957483,0.00758426393747171
"MCMDC2",6.63543918475336e-05,0.841738707979412,0.00848198711788186
"JUNB",7.43385035919017e-05,1.36237567899701,0.00923862402972689
"FBXO7",8.41733967996074e-05,0.374294049418583,0.0101781561427417
"HSPG2",8.65112351839722e-05,1.27089592931576,0.0101855596371866
"NUDT13",9.94536890504441e-05,0.885949672345013,0.0114091232002997
"SNAP23",0.000102400556647395,0.585485651172385,0.0114535022610112
"TRIM56",0.000113359135999578,1.76589748025268,0.0121136099551421
"CASP7",0.000113717393409917,3.00500692629214,0.0121136099551421
"KAT2A",0.00012004318561082,0.662032155756277,0.0124900747075072
"ZNF692",0.000125115990061614,0.502337596593569,0.0127220213530832
"SAMD3",0.000136650325156928,1.25395149540522,0.013586078994491
"CTHRC1",0.000159472119439788,1.51784208282247,0.015510397008122
"SGTA",0.000175773539148395,0.380103557267665,0.0167321449819132
"CCDC59",0.00018074512081518,0.806090583104816,0.0168469514693149
"GJC2",0.000218678030028319,1.68074686438951,0.0199666429866673
"SLC7A5",0.000265016463778067,0.417011918152203,0.0201521086497276
"HS3ST2",0.00024859839253904,1.17885624142752,0.0201521086497276
"ANKFN1",0.000261147890207189,-0.300857390717721,0.0201521086497276
"RHOG",0.000265751991581119,1.56167313088805,0.0201521086497276
"CYP39A1",0.000262513142670025,2.90661859483462,0.0201521086497276
"PTGES3",0.000242171716761585,0.672884418900828,0.0201521086497276
