"","p_val","avg_log2FC","p_val_adj"
"RUNDC3A",2.13106267405212e-10,1.56353007045358,8.94193898032269e-07
"DDX5",1.04063490636517e-09,0.751155717043411,2.18325203355412e-06
"GRIA2",2.16505972123543e-08,0.31518979300262,3.02819686343463e-05
"KIFC2",2.31454552321196e-07,1.26685301667083,0.000242795825384934
"HSPB1",5.47067500492391e-07,3.27099122681527,0.000459099046413215
"KAT2A",7.11549283339494e-07,1.2510965613084,0.000497610132148753
"C1QTNF4",1.32463213636945e-06,1.88034477015842,0.000794022349172317
"CYHR1",2.18232336773183e-06,1.18479843215418,0.00114462860637535
"RANBP2",4.31063634763951e-06,0.503758173881084,0.00200971445718837
"ATP2B1",5.0088230958045e-06,0.356424273957766,0.00210170217099957
"PFKP",6.34873930590394e-06,1.11398290854762,0.00242175546614299
"ATP6V1F",1.00762772853761e-05,1.11495388459681,0.00352333829078652
"DNAJB1",1.41114494488248e-05,1.32970709898434,0.00394744279248458
"DYNLL1",1.38658040736502e-05,1.3353620352687,0.00394744279248458
"FGF17",1.28321888136963e-05,1.01381975423861,0.00394744279248458
"UBB",1.54636333118912e-05,1.47481718414426,0.00405533783604346
"DNAJB2",2.1038452259874e-05,0.864462425673539,0.00519278504014302
"MARCKSL1",2.72080011472733e-05,1.2351333650724,0.00630101591715358
"PRKCSH",2.85317689289605e-05,0.991601756669452,0.00630101591715358
"SNAP23",3.32566995681788e-05,0.78659566980081,0.00697725556940391
"DNAJA1",3.57832305264575e-05,0.754213613354991,0.00714983025185789
"PFKL",4.5641263976599e-05,2.28095912284365,0.00870503380208225
"BSG",4.84124752537222e-05,0.646459699089728,0.00880236221805584
"UCHL1",5.11276174553472e-05,0.842618403849579,0.00880236221805584
"CKB",5.55625894184286e-05,1.20554259388527,0.00880236221805584
"RTN4",5.56352311981591e-05,0.34622772241248,0.00880236221805584
"PHYHIP",5.66405576471658e-05,1.4265683137162,0.00880236221805584
"TMEM59L",6.83443255060217e-05,1.0926526964896,0.010241885350831
"FKBP4",7.1114737174896e-05,0.941016379585836,0.0102895667995125
"NDUFB2",7.84937431770725e-05,0.79846196406692,0.0109786582123665
"TUBB4A",9.00606766452529e-05,1.61872996707926,0.0121901483614026
"ZEB2",0.000131235049977831,-0.213890990949152,0.0129753861070093
"CENPT",0.000126027203025512,1.5662695891459,0.0129753861070093
"DDIT4",0.000115413388518649,1.2785097391819,0.0129753861070093
"BAALC-AS1",0.000143403250754009,1.48730772041621,0.0129753861070093
"HSPH1",0.00013513841223771,1.11999134119627,0.0129753861070093
"EIF1",0.000142181899845917,0.903518474100928,0.0129753861070093
"SERF2",0.000120604454698172,1.03724736106538,0.0129753861070093
"SRSF5",0.000134355798164497,0.629253564290391,0.0129753861070093
"XBP1",0.000103662952448986,1.8095274083348,0.0129753861070093
"CALR",0.000145339167547531,1.02972341599447,0.0129753861070093
"PDE5A",0.000143169416405337,1.02071612228767,0.0129753861070093
"CGGBP1",0.000108479401731277,0.657418312353743,0.0129753861070093
"PPDPF",0.000123442751105653,2.12245171087322,0.0129753861070093
"CHPT1",0.000130347874774645,0.392494064399091,0.0129753861070093
"DDX17",0.000114847452277427,0.272524060040681,0.0129753861070093
"SLC22A17",0.000100855644978889,0.685677250416272,0.0129753861070093
"BCL6",0.000157812019139676,0.672024777902333,0.0137954006731267
"SBDS",0.000165347144917211,0.811821966214643,0.0141591146953595
"UBA52",0.000185964527640335,1.13473003576592,0.0156061431595769
"H1FX",0.000211325401173975,0.834220119019728,0.0173866937907058
"CDK5RAP3",0.000221441500625742,1.42573888519554,0.0178686257043388
"CLK1",0.000245344894268428,0.7476232431833,0.0194239089877419
"SNAP25",0.000292792834063037,0.379412186487689,0.022751087624602
"PRDX5",0.000344153518877536,1.42712676525365,0.0262557848220026
"FIS1",0.000391187753154885,1.01623526284209,0.027409331752466
"SCN9A",0.000391935153753088,1.05101611425289,0.027409331752466
"CPPED1",0.000369412680874474,-0.978491063067255,0.027409331752466
"CTSF",0.000385824527791067,1.00223487469799,0.027409331752466
"PCDH8",0.000383654354457277,0.930815845838707,0.027409331752466
"DNAJA4",0.000415299122388205,0.680319893416569,0.0285671330744412
"TRAPPC1",0.000430723488980721,2.12453596004893,0.0291502541897275
"GUK1",0.000473942926126397,1.65485581611581,0.0315661034607359
"PTGDS",0.00055637887531159,3.89356636481613,0.0353722084970823
"RPL18",0.000540694591250827,1.2857969727108,0.0353722084970823
"CD81",0.00055129053037692,1.31706118736222,0.0353722084970823
"NDUFB11",0.000583500087257457,1.40734507260176,0.0356429478422505
"RPSA",0.000586374721522106,0.851832973533838,0.0356429478422505
"U2AF2",0.00059461543111476,0.929306769205804,0.0356429478422505
"CACYBP",0.00057820205045264,0.893874772587147,0.0356429478422505
"CYP39A1",0.000623297795902823,3.38113783195293,0.0357106492300295
"TUFM",0.000629787426840367,1.06502491251645,0.0357106492300295
