"","p_val","avg_log2FC","p_val_adj"
"PDK4",3.02228723893364e-07,0.863550657693022,0.00105076296748573
"DYRK3",4.62280232065874e-07,1.02045997663237,0.00105076296748573
"PTGES3",8.38868217528661e-07,1.05978106282703,0.0012711649722951
"HNRNPH1",1.5591584182675e-06,0.360203249433506,0.00177198354236102
"PGK1",2.46709151148072e-06,1.1155706934145,0.00224307960223827
"CREB3L1",3.14925198035143e-06,-0.503618218273304,0.00238608325044627
"NDRG1",9.8234363944103e-06,0.714563340829296,0.00562763356779846
"YJEFN3",1.29435368261479e-05,2.71020065348799,0.00562763356779846
"LINC01340",1.3333686833072e-05,-0.955057451319599,0.00562763356779846
"ARRDC3",1.40194659633763e-05,0.83149632144221,0.00562763356779846
"CLK1",1.40478215389524e-05,0.497300295988649,0.00562763356779846
"CACYBP",1.48551699985881e-05,1.43963157285935,0.00562763356779846
"AHCYL1",2.14300059462707e-05,0.567427248008394,0.00577826105845251
"IGSF21",1.67750229729444e-05,-0.227475272476603,0.00577826105845251
"FGL1",2.2879168291277e-05,1.34445908518327,0.00577826105845251
"MMS22L",2.02333956398428e-05,-0.352771112027888,0.00577826105845251
"DNAJB1",2.28026707235619e-05,1.81868541380476,0.00577826105845251
"CPSF4",2.02645948732892e-05,0.593605161958152,0.00577826105845251
"DDX17",3.50526755055704e-05,0.245855126915222,0.00838681383412226
"CACNG4",4.53655856766606e-05,-0.234640183517849,0.010311597624305
"HSPD1",6.13110329431872e-05,1.01834005758741,0.0132723788457014
"PTOV1",6.81826321279877e-05,0.575141139613377,0.0140890111660833
"GADD45B",8.53378635095252e-05,2.56000268662718,0.0168672142397522
"C12orf75",9.64277570369301e-05,1.52014316839604,0.0175344233395954
"ALDOA",9.41843518153987e-05,2.432977785395,0.0175344233395954
"CCDC59",0.000100593066427066,0.5436156545877,0.0175883107683632
"HSPA1B",0.000108136846750105,2.61422685573321,0.0182070409379992
"MTUS1",0.000115915691267475,0.534242439671843,0.0188197404464979
"SLC2A4RG",0.000141697610693824,0.810300079324207,0.0222123220073836
"FLNA",0.000150859391079477,0.895433703837342,0.0228602263949101
"HSPA1A",0.000170107508454057,2.52294381963141,0.0247159494628763
"HSPH1",0.000180445969341174,2.28462119732282,0.0247159494628763
"TEX9",0.000184853119607962,0.419602695729604,0.0247159494628763
"HSPA4L",0.000175933592682737,1.02330938442085,0.0247159494628763
"ARHGAP21",0.000194396860470126,0.319710898688343,0.0252493750770627
"CCND1",0.000240645545374083,-0.770873196363208,0.0297955180209887
"HMGN2",0.000242506415920937,0.55694457102684,0.0297955180209887
"PROX1",0.000252929181669151,0.371818454517395,0.0302583173649464
"ZBTB7C",0.000272754629324314,-0.390459603498317,0.0317933985873932
"GOLIM4",0.000283103278654984,0.32799627406409,0.0321746876191389
"TPRG1",0.000301157361575781,-0.443324623776132,0.0333917406274025
"ARHGDIG",0.000368247099310239,2.42974854137442,0.039858364606294
"TMSB10",0.000431274179613516,2.7842434145189,0.0455947074540242
"GRAMD1C",0.00045455452695214,0.272681363458171,0.0466450655698743
