"","p_val","avg_log2FC","p_val_adj"
"CEBPB",2.98500432879401e-08,0.943134210249914,0.000113940329087362
"WFIKKN1",7.41477195796281e-08,1.34971836574443,0.000113940329087362
"CGGBP1",6.28923588874624e-08,0.623030691078766,0.000113940329087362
"TMEM59L",1.25767903518884e-07,0.820681902163688,0.000144947508805514
"POLR2J",5.73069323981599e-07,0.923226543583154,0.000528369916711034
"MANF",1.00631622595803e-06,1.15427646374382,0.000664857033365959
"ADCY5",1.00954430229104e-06,-0.311912772901922,0.000664857033365959
"YPEL3",4.31586292698232e-06,0.506923249072983,0.00198961280933885
"FAM229A",3.78887394479163e-06,1.18852264567979,0.00198961280933885
"RANBP2",4.17999849002963e-06,0.347153280012051,0.00198961280933885
"PPDPF",6.1870325691278e-06,0.904839151242702,0.0024942684282254
"NDUFAF6",6.4926726982006e-06,0.379877622667609,0.0024942684282254
"AC019117.1",8.57346928207794e-06,3.45461503292329,0.00276181475748868
"HLA-C",7.9760342584125e-06,2.33704418628553,0.00276181475748868
"GADD45B",9.17745074204484e-06,3.75244208561908,0.00276181475748868
"CCNA2",1.01845663508259e-05,0.813263413515758,0.00276181475748868
"CASP7",9.94210613895293e-06,1.68784553186808,0.00276181475748868
"HSD17B13",1.10677684597263e-05,0.765786972227167,0.00283457847774101
"UCN",1.52243445876768e-05,0.642386109167137,0.00355547809230328
"LINC00907",1.54250676455674e-05,-0.710985439104811,0.00355547809230328
"HNRNPH1",1.83573083208866e-05,0.381112737970576,0.00402986625520416
"MCMDC2",2.01899083889712e-05,0.865377281011749,0.00423070353059806
"GRAMD1C",2.21457598450124e-05,0.712302539444413,0.00443878056023945
"HSPA4L",3.07124396640756e-05,0.513118156215097,0.00589934778547453
"AR",3.35720080101549e-05,1.36918196192096,0.00619067827707256
"SLC38A1",3.63209106991144e-05,0.415095126187129,0.00643997685857375
"ASPRV1",4.95441788563387e-05,1.48809274245749,0.00845920979732302
"ANAPC11",5.20912314941914e-05,0.944622660734636,0.00857644918529365
"PCBD1",5.7897321326622e-05,0.706922111072523,0.00920367763157681
"PDIA4",6.42083047244338e-05,1.12655804843863,0.00986667615932133
"MRAS",6.6973330056976e-05,0.254441646453084,0.00995958230847288
"AFF1",7.24782453676659e-05,0.267299143442677,0.0104413972232794
"MMS22L",7.62924854970422e-05,-0.489877546638295,0.0106578290345868
"GSG1L",8.05605827639351e-05,-0.361563996793985,0.0109230672512277
"SLC30A10",8.35850072981275e-05,0.884521703403776,0.0110093395326962
"MTHFD2",9.71817622283777e-05,1.74185958430752,0.012108322266833
"SRP14-AS1",9.50220852258111e-05,0.7348738775865,0.012108322266833
"RTP5",0.000100366086728671,1.71484025420309,0.012175991047873
"WWOX",0.000108822820167797,-0.299313874636498,0.0128634154095781
"UQCR10",0.000113962254231015,0.761388922107721,0.0131341498001244
"IER5L",0.000120169268423443,0.500347644697908,0.0135117153032213
"TBC1D12",0.000147935377530552,-0.279647191086938,0.0162376688194249
"HERPUD1",0.000154779584943996,0.470391855252144,0.0165938113160889
"EGLN3",0.000164303253708901,0.605192875106479,0.0171866409941886
"THAP9",0.000167765476082102,0.77292257770301,0.0171866409941886
"LINC01117",0.000183951593686106,-1.4154215662659,0.0178707532699855
"CNN3",0.00018607291908011,0.542144037775089,0.0178707532699855
"HHIP-AS1",0.00018587196892055,1.22453725018467,0.0178707532699855
"LINC00534",0.000194195978570715,0.602484294260818,0.0179048692242199
"SLC22A17",0.000192891018268891,0.47438628651582,0.0179048692242199
"PFKFB4",0.000215589386209581,0.518992121114248,0.0194875896161994
"ISOC2",0.000234643948001169,1.28985327951899,0.0208020884670267
"TENM3",0.000256855231843782,0.563972952038819,0.0214681995958412
"PLAUR",0.000254131012540979,0.658376981597491,0.0214681995958412
"CCDC81",0.000265441947280466,1.27121910280144,0.0214681995958412
"FAM135B",0.000261367859732385,0.298804136002172,0.0214681995958412
"MSMO1",0.000254994248487954,0.674482340290951,0.0214681995958412
"ENGASE",0.000274359497822115,1.20297771535455,0.0218013134248436
"ADGRF3",0.000279018978756133,0.63748765503803,0.0218013134248436
"ATF3",0.000287659836899066,2.22658847159166,0.0221018641350783
"HSPB8",0.000302160121065876,0.431178647039245,0.0224380422105126
"TAF10",0.000307968491922184,0.796566819346986,0.0224380422105126
"HIST1H2BD",0.000312216730841669,1.07451842282983,0.0224380422105126
"AC010884.1",0.000316371527913951,0.470424600680146,0.0224380422105126
"TECR",0.000314631792392101,0.590106943509934,0.0224380422105126
"POU6F2",0.000329956772144244,-0.17375203104741,0.0230469805997722
"FGF17",0.000340689560355258,0.522249859975271,0.0232032698073216
"RPS27L",0.00034226081277611,0.381512801676811,0.0232032698073216
"TBCB",0.000384244502944977,0.514003542335607,0.0256719878054543
"PECAM1",0.000405382813844332,1.36211377706565,0.0263034203008834
"USP21",0.000410812638104904,0.808345431391383,0.0263034203008834
"AIP",0.000402302430398694,0.865189180136426,0.0263034203008834
"ADCY7",0.000433065101490401,1.16086436677813,0.0267413011008453
"GRIA2",0.000435053705545205,0.128032454288167,0.0267413011008453
"ATP6V0B",0.000426154068374224,0.739431028915835,0.0267413011008453
"KCTD8",0.000456027284574459,-0.177849105936053,0.0275328643327411
"AKR1B1",0.00045987647583971,0.522096112209787,0.0275328643327411
"VEGFA",0.000522913627183648,1.29440218808391,0.0287716456162151
"ACKR1",0.000544048258384023,0.800932755688094,0.0287716456162151
"RAB3C",0.00054225428753373,0.401337929600386,0.0287716456162151
"ATF5",0.000497049030575357,1.47397000742818,0.0287716456162151
"LINC01135",0.000555461271115649,0.574367233845948,0.0287716456162151
"SQLE",0.000519433815708679,0.383865711010411,0.0287716456162151
"PAF1",0.000555298033469732,0.622916446866871,0.0287716456162151
"PPM1E",0.000539183760361773,0.233159654194967,0.0287716456162151
"PSMB3",0.000510290186370966,0.523109479279433,0.0287716456162151
"ARHGDIG",0.000502949162107989,0.635843198804199,0.0287716456162151
"SF3B6",0.000542005014229268,0.480451040355945,0.0287716456162151
"GPRASP1",0.000487253076590611,0.362571309250114,0.0287716456162151
"ZNF761",0.00056977358347891,0.947916784227038,0.0291850691093086
"PTPRT",0.000576213567093052,-0.197237346029788,0.0291905993879008
"SDCBP",0.000596104907562224,0.374747223597219,0.0298700393898027
"LINC01119",0.000624077509430376,-1.19128699080083,0.0309354550373552
"SAP25",0.000644752934850388,2.63993163919317,0.0312874845227399
"NUP210L",0.000639000783113717,0.951345452146165,0.0312874845227399
"SNAP23",0.000680875356458499,0.569935455982176,0.0323591277657081
"FANCL",0.000676693973894045,0.292539235549043,0.0323591277657081
"RGS5",0.000694264599719095,0.718419286948342,0.0325401391700372
"TEX9",0.000698801253326179,0.383827308382743,0.0325401391700372
"ATP1A2",0.000715524042359951,1.94932961457134,0.0326590676760334
"KPNA2",0.000709381757586643,0.498666608910886,0.0326590676760334
"CBR1",0.00072888955225455,1.84834529266699,0.0329429493715046
"PCIF1",0.00075278924588826,0.908456412532228,0.033692800228591
"RAP2C-AS1",0.000764567475039712,-0.466438922388474,0.0338909236532026
"SHMT2",0.00079027532713188,1.06797460123587,0.0343595647294216
"GRK7",0.000795745166853064,1.16616249709619,0.0343595647294216
"GATAD1",0.000797499658578766,-0.359240515938371,0.0343595647294216
"GUK1",0.000823236393740186,0.644367975168412,0.0351399979179839
"HPCAL1",0.00084729941238977,1.28575832085834,0.0358353237717141
"C9orf153",0.000865805637291703,0.724992572980247,0.0361409211855724
"ZNF124",0.000870204392971482,0.619422697168412,0.0361409211855724
"ACHE",0.000893547198448385,0.694472281882218,0.0364535626977616
"KATNAL2",0.000892638950011961,0.397397155951677,0.0364535626977616
"ARRB2",0.000926656879993428,0.323809343757288,0.0374727036558746
"C1orf162",0.000956551770242146,0.838114878036179,0.0376897748787717
"CD81",0.000944360088974365,1.57210105591483,0.0376897748787717
"TGFBR3L",0.000948411981733985,0.812444389147156,0.0376897748787717
"PCYT2",0.0010107861361685,0.589810461313766,0.0388310340644732
"DTX2",0.000998982036884614,0.731456661638897,0.0388310340644732
"GPN1",0.00100948054560732,0.542964714293642,0.0388310340644732
"EPHA6",0.00103063272344109,0.522926152649328,0.0392662550005243
"DDIT4",0.00104014266445077,2.06507289940778,0.0393037515009675
"C4orf48",0.00105372176241446,1.43394638898942,0.0394931489815501
"LAMTOR1",0.00106398008577738,0.616115211950577,0.0395560338341431
"CCDC59",0.00112964481790348,0.685674742880908,0.0416613008842803
"NDUFB2",0.00116767196857899,0.445814332611027,0.0422158861630899
"CYC1",0.00117215475680597,0.665063170784807,0.0422158861630899
"EGR3",0.00116454214365569,0.619791829376953,0.0422158861630899
"TDRD12",0.00120211134532114,1.08555535423145,0.0426407112648589
"ARID3B",0.00120244955844504,-0.535864903718704,0.0426407112648589
"LAMC1",0.00125712109393467,-0.186374355895798,0.0442391468934263
"CSTB",0.00127889379173817,0.639078654459275,0.0446643968175224
"PNCK",0.00132067584446742,0.420376748521787,0.0457768093458255
"GABBR2",0.00134060358188924,-0.0683611715963983,0.046005089381128
"MCL1",0.00134722062179008,0.550937100271278,0.046005089381128
"KLHL17",0.00136951935888914,0.658658287540454,0.0464226782682275
"LINGO2",0.00143461399065615,-0.139986626939223,0.0465744401191891
"FRMD5",0.00142637408085583,-0.220982490886705,0.0465744401191891
"STK11IP",0.00140047832005914,0.662030212870947,0.0465744401191891
"IMMP2L",0.00139585289238084,0.246737840247245,0.0465744401191891
"TMEM79",0.00142631658926352,0.811191612659333,0.0465744401191891
"FAM189A1",0.00142786090957309,-0.145495918735834,0.0465744401191891
"ATG4C",0.00144681202535921,0.263477980347434,0.0466419820762654
"NDUFA1",0.00146895717104318,0.831741033219701,0.0470270316563131
"RFPL3S",0.00147933032898196,0.772137520291642,0.0470325021834953
"TSPAN18",0.00152734159133145,2.39869629174401,0.0482263338084793
"CCK",0.00154727145027432,0.492189950842929,0.0485232747330928
"TSHR",0.00157454462899141,0.839201942907033,0.0490449374300702
"SETBP1",0.00162397069442146,-0.201223054693921,0.0496837662610158
"DYNLRB1",0.00162465598519519,0.679185723297171,0.0496837662610158
"CCDC18",0.00162738583631527,0.34714290487596,0.0496837662610158
"MORC4",0.00169043281760835,0.635013390095352,0.0512690479550955
"PRELID1",0.00171245551218974,0.690675290394256,0.0515975157594424
"WNT5A",0.00173364816001662,1.41311085509445,0.0518968702446535
"GLDN",0.00177684930475367,-0.796275308712351,0.0520689958001507
"GINS3",0.0017845772964043,-0.631483221820011,0.0520689958001507
"NHP2",0.00176983951018021,0.654446011968006,0.0520689958001507
"LEPR",0.00176428057384277,0.61608413195226,0.0520689958001507
"CARD14",0.00181690046503669,0.868487058565227,0.0526786864391142
"COL6A6",0.00183021355930017,0.921718073884081,0.0527330281773361
"XBP1",0.00185273939352661,0.658121156570505,0.0530504882245818
"NDUFS7",0.00189154501098362,1.02175570121457,0.0536674288251805
"SH3BGR",0.001908196865038,0.509893473548798,0.0536674288251805
"EFCAB13",0.00190921004931228,0.761914472739327,0.0536674288251805
"KLHL29",0.0019334785132332,-0.29158642284183,0.054020217854576
"ATP6V1F",0.00196041619050149,0.692625177467594,0.0542346290438428
"ARID5A",0.00196468178965765,1.0129244225452,0.0542346290438428
"PCBD2",0.00202030448132008,-0.385978699412213,0.0554381170171761
"ALDH1A2",0.002136007882227,-0.569708597461834,0.0575847739009736
"MAGT1",0.00212698412368144,0.526049102809976,0.0575847739009736
"CD59",0.00212810229724073,0.37799601676576,0.0575847739009736
"ADGRF5",0.00218482575971496,0.706953459956419,0.0577716236275444
"PSTPIP2",0.00219306597284604,1.03313586780284,0.0577716236275444
"TAP1",0.00218930761894038,1.70626384634737,0.0577716236275444
"C9orf16",0.00215780953951415,0.600314907818135,0.0577716236275444
"C4orf36",0.00223181575361184,0.780883948981062,0.0584583558190374
"CCDC107",0.00226194349763943,0.488616476497341,0.0589127656729819
"CEBPD",0.00229348629336864,0.465868738568487,0.0593987180473563
"IFI6",0.00235446406223855,1.72255248746168,0.0600421659031596
"CLDN15",0.00237159909116152,1.05752066656405,0.0600421659031596
"SCN9A",0.00233337317236767,0.591675657721603,0.0600421659031596
"ANXA4",0.00236728681982377,-0.317567959724502,0.0600421659031596
"EPB41L3",0.0023896716050197,0.178740100350638,0.0600421659031596
"CDK2AP2",0.00244857422772104,0.747409687516115,0.0600421659031596
"NSMCE4A",0.00243377198086475,0.495852021638725,0.0600421659031596
"PGRMC1",0.00244071032663115,0.454470710322766,0.0600421659031596
"SERHL2",0.0024480027675486,1.06922439929333,0.0600421659031596
"SNRPA",0.00243189998365187,0.567477146272446,0.0600421659031596
"COX7A2",0.00246185867880573,0.588810401186529,0.0600485106311875
"DDX5",0.00249330087405777,0.345601517388396,0.0604146354695524
"OMG",0.00250307925698146,0.393054815161775,0.0604146354695524
"SLC7A1",0.00254951649663739,0.420122062317855,0.0608977774585408
"NKAIN4",0.00253893681811664,1.59265765268946,0.0608977774585408
"USP19",0.00256343785927491,0.664243415773482,0.0609146831508111
"PLD6",0.00264986164543602,0.557065768053752,0.0623391922822095
"ALDOA",0.00265042986709611,2.49686093773384,0.0623391922822095
"TM6SF1",0.00269711423424622,0.587220372576949,0.0631152112684013
"ARHGAP10",0.0027253089182214,0.540977955540175,0.0631896737808292
"DSTN",0.00272771043001844,0.24170403594037,0.0631896737808292
"PUF60",0.00278991323367648,0.759857216113781,0.063766681105416
"ACTL6A",0.00280794712893697,0.944861679054507,0.063766681105416
"CNTD1",0.00279824932934579,0.844503335216854,0.063766681105416
"MAF1",0.00277861906881551,0.419928434424431,0.063766681105416
"NLRP1",0.00284229880968606,1.65865397528667,0.0641113918001252
"ROGDI",0.00285094041627455,0.487579335457848,0.0641113918001252
"CCDC115",0.00287578644468154,0.554282164145129,0.0643561917960287
"MXD3",0.00295507294073117,0.836956205502202,0.065811044718699
"ABCB1",0.00300888091449308,1.04060404647056,0.0666872164221784
"LTBP1",0.00314479234159359,0.52123207818403,0.0677452929661048
"PYGL",0.00308693398053489,0.727614640059384,0.0677452929661048
"LINC00607",0.00312329315822275,1.46968067610139,0.0677452929661048
"VPS25",0.00314337337076627,0.720780392998313,0.0677452929661048
"UAP1",0.00310044318987906,0.313032539179709,0.0677452929661048
"RUNDC3A",0.00310642501730497,0.336206553290657,0.0677452929661048
"C19orf53",0.00322715220446688,0.790330370827668,0.0691961472678712
"ZNF763",0.00330322351534482,-0.927950018171897,0.070499353730276
"CNBD1",0.00332931613161615,0.940725684661259,0.0707287897085273
"MYO18A",0.00342246055929148,-0.297958085167303,0.0723740512767602
"TNFRSF1A",0.0034552389141282,0.434708602488788,0.0727335680097306
"C22orf34",0.00349927625995401,1.44660067836093,0.0733257434472182
"THAP11",0.00353106519069604,0.630426104882718,0.0736570612176867
"RTN4",0.00358778340254467,0.238380177101429,0.0745030697555446
"ACTA2",0.00373328662778578,0.813430329719247,0.0768323721164841
"PICK1",0.00372107280882931,0.4710059886587,0.0768323721164841
"ACD",0.00378976156417876,0.530489558111523,0.0775869647864964
"FSCN1",0.00380361259040091,0.435923229677864,0.0775869647864964
"FKBP2",0.00391877792358845,1.38432780539902,0.079234939595363
"MXI1",0.00390920610377776,0.162346877589509,0.079234939595363
"FAM131C",0.00393835293627479,1.60925612511755,0.0792830001581956
"CDC14A",0.0039687853472398,3.50594144858382,0.0795209291758768
"GRWD1",0.0040061582213358,0.672847301621482,0.0795209291758768
"COLEC11",0.00400107894992382,0.858874503180495,0.0795209291758768
"SLC19A2",0.00401917060693694,0.321316281601104,0.0795209291758768
"SOD2",0.00424392530420011,0.35380373334819,0.0829004053066209
"SLC25A29",0.00421526312708298,0.489001048937517,0.0829004053066209
"BOP1",0.004240768535698,0.625788413272519,0.0829004053066209
"DDAH2",0.0044950039820736,1.37298764599809,0.0874344656428661
"SLC7A5",0.0045191146019891,0.498048771400956,0.08753411056794
"NRXN1",0.0046482725719299,-0.0961023635002507,0.0876515806870065
"LINC01260",0.00455048381948915,1.32161700483029,0.0876515806870065
"LGI1",0.00469629944244915,0.387136596701493,0.0876515806870065
"SDR39U1",0.00468957369766968,0.529412283290322,0.0876515806870065
"DUSP7",0.00462703383867414,0.567471441072377,0.0876515806870065
"RAB30",0.0046636428481454,0.315119474371312,0.0876515806870065
"TRABD",0.00457143651027592,0.510357019164642,0.0876515806870065
"WDR20",0.00460263794143755,-0.187065675202563,0.0876515806870065
"C17orf67",0.00464816519878048,0.447539076301047,0.0876515806870065
"NDUFA4",0.00479959451702814,0.581235965703818,0.0892182690463698
"CTNNA1",0.00494085407847908,0.493929820140355,0.0914752502079861
"PAM",0.00498050903316198,0.33783246781543,0.0918405865715069
"RNF149",0.0050050019624983,0.204294023287017,0.0919245380363233
"MACC1",0.00510418195452481,0.813110251836213,0.0933741222633308
"TRPV4",0.00517110752052763,1.51934261290169,0.0934855124299309
"CYP39A1",0.00515137081863817,1.43062560353825,0.0934855124299309
"C1orf54",0.00515170235334312,0.718422398051403,0.0934855124299309
"RFNG",0.0052093997054922,0.481419240403678,0.0937629282714052
"TPPP",0.00524746973839968,0.29988462108746,0.0937629282714052
"LPIN2",0.00524387636890659,0.21690967720404,0.0937629282714052
"CHN2",0.00527061641497369,1.88254916661277,0.0938129022124661
"SV2C",0.00533944936255151,1.29790936471783,0.0938179748469058
"DCTN3",0.00535230528953063,0.52200470596133,0.0938179748469058
"CXXC1",0.00531098801112847,0.419243024617252,0.0938179748469058
"PRKAB1",0.00533930528104215,-0.469017145900186,0.0938179748469058
"ZNF491",0.00539644020098995,-0.596253570178423,0.0942332929036503
"FGF2",0.00544568462747267,1.07453202442829,0.0943782185437933
"LRRIQ3",0.00543003945838882,0.725994791263429,0.0943782185437933
"PPP2R2B",0.00548241608708677,-0.154699703460849,0.0946589444249814
"ASB16-AS1",0.00556686174016588,-0.719243859275008,0.095758330679719
"MTSS1",0.00566632487411924,-0.182675547484556,0.0967438083773748
"SLC29A3",0.00570809455068241,-0.564227350122115,0.0967438083773748
"COL26A1",0.00569970910193201,-0.270002642569209,0.0967438083773748
"YOD1",0.00569869803889678,0.418299169061348,0.0967438083773748
"DCC",0.00577340549740233,-0.169837795675868,0.0974923052858049
"PSAT1",0.0058487511803838,1.15044948109063,0.098404171319596
"PLCD1",0.00591732820405784,0.96901247449447,0.099195938257115
"RPL18",0.00598073900738488,0.773017713780836,0.0995350426860805
"POLR2C",0.00597650593700182,0.401189914443496,0.0995350426860805
"CACNB2",0.00617532197812386,0.124063657454179,0.101672265425539
"IFRD1",0.00616506226053126,0.353014501485104,0.101672265425539
"ST5",0.00614710143864919,-0.182780153429679,0.101672265425539
"SLC39A7",0.00625550724661424,0.792723973513831,0.102625937391073
"CNTN6",0.00645737643461686,-0.416888899933935,0.105189064888988
"MTA2",0.00644220144659108,1.02314303982695,0.105189064888988
"BTF3",0.00654663975928389,0.658378800959012,0.106267638346122
