"gene"
"DPYD"
"RP4-543J13.1"
"PBX1"
"ASTN1"
"BRINP2"
"RGL1"
"CHIT1"
"ESRRG"
"SLC35F3"
"MEIS1"
"CACNB4"
"SLC4A10"
"RP11-762E8.1"
"PPARG"
"KCCAT211"
"RP11-281P23.2"
"SLIT2"
"KCNIP4"
"KIAA1211"
"MAPK10"
"TSPAN5"
"IL15"
"ARHGAP10"
"FNIP2"
"FSTL5"
"DMGDH"
"COX7C"
"MCC"
"RP11-541P9.3"
"RP11-379B8.1"
"RP1-167A14.2"
"RP11-142A5.1"
"TMSB4X"
"RP11-10H3.1"
"DPYS"
"SNTB1"
"VLDLR-AS1"
"BDNF-AS"
"AP000797.3"
"SORCS1"
"RP11-81H3.2"
"GLT1D1"
"STARD13"
"RP11-406A9.2"
"APBA2"
"CRTC3-AS1"
"SPATA22"
"ALOX12-AS1"
"EYA2"
"NLGN4Y"
"CECR2"
"AJ006998.2"
"LINC00649"
"LINC00278"
"DDX3Y"
"DPYD-AS1"
