PER3
AGBL4
NEGR1
DPYD
RP4-543J13.1
NUP210L
NOS1AP
PBX1
ASTN1
BRINP2
ESRRG
MEIS1
LRRTM4
MERTK
CACNB4
SLC4A10
ZNF804A
DNER
DOCK3
CACNA1D
FHIT
PTPRG
MITF
STXBP5L
RP11-281P23.2
KCNIP4
LIMCH1
MAPK10
SPARCL1
CCSER1
GRID2
UNC5C
IL15
DCLK2
GRIA2
ACSL1
PLCXD3
PDE4D
CTC-436P18.3
IQGAP2
TGFBI
AC008697.1
KCNIP1
DUSP1
F13A1
HLA-DRB5
TRERF1
KHDRBS2
ADGRB3
KCNQ5
GRIK2
DSE
AHI1
SYNE1
WIPF3
PCLO
SERPINE1
SLC26A3
NRCAM
CADPS2
CNTNAP2
TMSB4X
XACT
PSD3
RP11-624C23.1
RP11-10H3.1
RP11-246K15.1
RIMS2
LINC00976
LINC00977
CCDC26
UGCG
RP11-115J23.1
LRRC4C
MALAT1
DLG2
RP11-480C22.1
RP5-1031D4.2
KCNMA1
SORCS1
ATRNL1
CD163
CLEC2B
DENND5B
RPL41
RP11-123O10.4
CPM
NAV3
SYT1
PPFIA2
PLXNC1
GLT1D1
STARD13
FGF14
ZFP36L1
RP11-187O7.3
RP11-666E17.1
APBA2
FMN1
WWOX
ALOX12-AS1
MALT1
MIR646HG
APOE
APOC1
ZNF331
CECR2
AJ006998.2
LINC00649
MT-ND1
MT-ND2
MT-CO1
MT-ND3
MT-ND4
RPS28
DPYD-AS1
VWC2
RP11-13N12.1
FTH1
MEG3
RP11-16C1.3
MT-CO2
MT-ATP6
MT-CO3
MT-CYB
