AGBL4
NEGR1
DPYD
PBX1
ASTN1
BRINP2
ESRRG
NRXN1
EML6
AC074391.1
MEIS1
LRRTM4
DPP10
LRP1B
SLC4A10
SCN1A
RAPGEF4
AC010983.1
SLC6A1-AS1
CTDSPL
DOCK3
FAM19A1
LSAMP
STXBP5L
KCCAT211
RP11-281P23.2
SLIT2
KCNIP4
KIAA1211
ADGRL3
PARM1
MAPK10
TSPAN5
RP11-362F19.1
IL15
RP13-578N3.3
DCLK2
GRIA2
FSTL5
PLCXD3
RNF180
CTB-138E5.1
TENM2
ADGRB3
KCNQ5
GRIK2
SOBP
PTPRK
ETV1
DGKB
CADPS2
CLEC5A
PTPRN2
ERICH1-AS1
RP11-10H3.1
RALYL
CA3
RIMS2
DPYS
RP11-642D21.2
LINC01608
TRPS1
SNTB1
VLDLR-AS1
CACNB2
NRG3
SORCS1
CACNA1C
GRIN2B
SOX5
TUBA1A
SYT1
PPFIA2
ANKS1B
GLT1D1
STARD13
GPC5
HS6ST3
FGF14
FAM155A
RP11-314P15.2
DIO2
UNC79
APBA2
RORA
NTRK3
RBFOX1
LINC01478
PLCB1
AJ006998.2
LINC00649
FRG2B
DPYD-AS1
MEG3
