ZSWIM5
RAD54L
AGBL4
DPYD
NUP210L
PBX1
ASTN1
BRINP2
CHIT1
BTG2
ESRRG
EML6
AC074391.1
MEIS1
LRP1B
CACNB4
RAPGEF4
RP11-762E8.1
PGAP1
PARD3B
SPAG16
DIRC3
LINC00693
CTDSPL
DOCK3
FHIT
FAM19A1
MITF
RP11-446H18.5
KCCAT211
STX18-AS1
RP11-281P23.2
SLIT2
KIAA1211
TSPAN5
ZGRF1
RP11-93I21.3
RP11-371F15.3
RP11-362F19.1
IL15
INPP4B
RP13-578N3.3
DCLK2
FSTL5
PLCXD3
CTC-436P18.3
RNF180
IQGAP2
DMGDH
CMYA5
TMEM161B-AS1
KIAA0825
MAN2A1
TMEM232
RANBP17
SERPINB9
TRERF1
ADGRB3
RP11-379B8.1
GRIK2
AHI1
STXBP5-AS1
PLEKHG1
ESR1
PACRG
RP1-167A14.2
ACTB
FSCN1
ICA1
ETV1
IGF2BP3
TPST1
RP11-142A5.1
RP11-328J2.1
CADPS2
LRGUK
CLEC5A
PTPRN2
NCAPG2
RP11-120D5.1
TMSB4X
KIAA2022
PSD3
LPL
RP11-10H3.1
MIR2052HG
CA3
DPYS
TRPS1
SNTB1
MTSS1
VLDLR-AS1
LINC01242
SHC3
RP11-554F20.1
KIAA1958
LINC00958
RP11-65M17.3
RP11-799O21.2
CACNB2
SPAG6
BICC1
IFIT2
SORCS1
CASC2
RP11-259O18.5
CLEC2B
RP11-711K1.8
SOX5
RP11-444D3.1
DENND5B
TUBA1A
RP11-766N7.3
RP11-314D7.2
GLT1D1
TPTE2
STARD13
SLAIN1
FAM155A
MYO16-AS1
RP11-314P15.2
RP11-16B13.1
RP11-187O7.3
DIO2
RP11-666E17.1
RP11-406A9.2
LGMN
UNC79
APBA2
FANCI
CRTC3-AS1
RBFOX1
MKL2
LINC01572
FANCA
ALOX12-AS1
RP1-66C13.4
CEP112
DTNA
LINC01478
PKIG
TSHZ3
SCGB2B2
ZFY
NLGN4Y
CECR2
SEZ6L
OSBP2
RBFOX2
AJ006998.2
LINC00649
LINC00278
USP9Y
DDX3Y
RALA
DPYD-AS1
HIVEP1
