MORN1
PBX1
BRINP2
KCNG3
MEIS1
RP11-446H18.5
KCCAT211
RP11-281P23.2
SLIT2
KIAA1211
PARM1
MAPK10
TSPAN5
RP11-362F19.1
IL15
DCLK2
FSTL5
PLCXD3
RNF180
CADPS2
PTPRN2
SLC9A7
RP11-10H3.1
VLDLR-AS1
GAS1RR
MEGF9
SORCS1
SOX5
FERMT2
DIO2
UNC79
APBA2
FAM81A
LRRC49
