MORN1
CHD5
PER3
PDE4B
NEGR1
ST6GALNAC3
DPYD
C1orf61
HSPA6
NOS1AP
PBX1
DNM3
ASTN1
BRINP2
RGS1
BTG2
PTPN14
ESRRG
SLC35F3
TARBP1
KIF26B
FOSL2
PELI1
MEIS1
LRRTM4
MAT2A
AC159540.1
KIAA1211L
SH3RF3
TMEM163
R3HDM1
CACNB4
FMNL2
CYTIP
SLC4A10
SCN2A
STK39
RAPGEF4
ZNF804A
AC007319.1
HSPD1
HSPE1-MOB4
PLCL1
SATB2
PARD3B
ADAM23
MAP2
UNC80
ERBB4
DNER
C2orf72
GPC1
CHL1
SH3BP5
ARPP21
CX3CR1
DOCK3
CACNA1D
ERC2
PTPRG
LRIG1
FRMD4B
MITF
FOXP1
RYBP
MORC1
STXBP5L
KALRN
KBTBD12
MED12L
TNIK
NAALADL2
LINC00578
KCNMB2-AS1
ST6GAL1
TPRG1
ZDHHC19
FGFR3
NAT8L
RP11-281P23.2
KCNIP4
UCHL1
ATP8A1
KIAA1211
RP11-707A18.1
MAPK10
SPARCL1
GRID2
UNC5C
TSPAN5
RP11-362F19.1
IL15
INPP4B
GRIA2
TMEM144
FNIP2
ACSL1
ANKRD37
FBXL7
C5orf17
PLCXD3
PDE4D
CTC-436P18.3
ENC1
IQGAP2
EDIL3
ADGRV1
MAN2A1
CTC-575N7.1
TGFBI
KCTD16
AC008697.1
GABRB2
KCNIP1
DUSP1
SERPINB9
F13A1
AIF1
HSPA1A
HSPA1B
TRERF1
HSP90AB1
SLC25A27
PLA2G7
PTCHD4
KHDRBS2
ADGRB3
KCNQ5
MYO6
GRIK2
FYN
MAN1A1
AHI1
PLEKHG1
ESR1
SYNE1
GNA12
ACTB
ICA1
SCIN
HDAC9
GPNMB
CHN2
MLXIPL
HSPB1
PCLO
PDK4
SERPINE1
NRCAM
CADPS2
AC024084.1
AC009784.3
CLEC5A
LINC00685
ARHGAP6
TMSB4X
CNKSR2
SLC9A7
PLP1
TSC22D3
COL4A5
XACT
PNMA3
CSMD1
LINC00599
FAM66D
FGL1
PSD3
DOCK5
PTK2B
CLU
RP11-10H3.1
RPS20
FAM110B
SDCBP
CA8
RALYL
NECAB1
NIPAL2
RIMS2
ZFPM2
TRPS1
MTSS1
LINC00976
CCDC26
KCNQ3
RFX3-AS1
SLC24A2
FOCAD
MAMDC2
VPS13A
RP11-202G18.1
UGCG
DNM1
MIR219A2
ADAMTSL2
KCNT1
GRIN1
LINC00958
PRDM11
MALAT1
ACY3
TENM4
DLG2
GRM5
GRIA4
ZBTB16
TMPRSS4-AS1
SCN3B
RP11-480C22.1
NTM
JAM3
DIP2C
PFKFB3
RP5-1031D4.2
FRMD4A
CACNB2
NRP1
CTNNA3
SRGN
P4HA1
KCNMA1
SORCS1
ATRNL1
FKBP4
CD163
SLC2A3
CLEC2B
RP11-711K1.8
LINC01252
SLCO1A2
OVCH1-AS1
DENND5B
CNTN1
NELL2
TUBA1B
RPL41
RASSF3
RP11-123O10.4
CPM
RP11-588H23.3
SYT1
PPFIA2
PLXNC1
CIT
GLT1D1
HSPH1
STARD13
KLF12
GPC5
HS6ST3
LRFN5
C14orf37
ZFP36L1
SIPA1L1
JDP2
RP11-187O7.3
RP11-114N19.3
RP11-666E17.1
SLC25A29
HSP90AA1
CKB
INF2
RP11-701H24.9
APBA2
TJP1
FMN1
GOLGA8A
GOLGA8B
CCPG1
LIPC
MYO1E
PAQR5
PEAK1
IQGAP1
BAIAP3
LITAF
MKL2
PAPD5
MT2A
WWOX
ALOX12-AS1
ALOX15B
GAS7
CORO6
RUNDC3A
USP36
RAB40B
TBCD
ENOSF1
DTNA
SLC14A1
SPTLC3
SYNDIG1
MAFB
MIR646HG
KCNQ2
DNAJB1
TMEM59L
PLAUR
APOE
APOC1
FTL
ZNF331
NLGN4Y
CECR2
CTA-29F11.1
C22orf34
CH507-513H4.1
AJ006998.2
DSCAM
COL18A1
MT-ND3
RANBP2
CSGALNACT2
FBN2
VEGFA
NHSL1
VWC2
NAMPT
RP11-13N12.1
IFITM3
RP11-142C4.6
FTH1
FLT1
MEG3
MT-ATP6
