SKAP1
SLFN12L
ITK
CD96
BCL11B
THEMIS
IKZF3
GRAP2
TC2N
SAMD3
CD2
CCDC88C
AC104820.2
PYHIN1
AC006369.2
SCML4
CCL5
PTGDR
KLRK1
GPR174
LINC00944
ZNF831
LINC00426
GZMA
CD3E
SLAMF6
SLC38A1
SYNE2
STAT4
TRAC
CD6
TRGC2
AC092580.4
LCK
CD8A
IL32
IL7R
GPR171
CATSPERB
FYN
MDFIC
F2R
ETS1
LY9
DPP4
TRBC2
ZAP70
SLAMF1
CD3D
ITGA4
CD247
NLRC3
CD8B
IL18RAP
MYBL1
GZMH
ITGA1
CD44
PRF1
CD3G
FAM46C
ATP10A
PTGER2
NKG7
TGFBR3
GATA3
IL2RB
LINC00861
CAMK4
UBASH3A
MCTP2
TMEM200A
PRKCQ
RASGRP1
SYTL2
SLC16A7
SIRPG
GZMK
TRAT1
ADGRE5
CYFIP2
MPZL3
ACAP1
SEL1L3
SH2D2A
PPP1R16B
TRGC1
TBX21
DTHD1
JAML
SPON2
KLRC4
GZMB
CD48
RUNX3
SYTL1
STK39
MPP7
CD52
ZNF827
RP11-553L6.2
PTPN22
CCL4
IL18R1
ANTXR2
LBH
SLA2
PBX4
TOX
TRBC1
FAM65B
PRKCQ-AS1
ADAM19
ANXA6
CTB-4E7.1
CTB-91J4.1
ITM2A
SIDT1
SPOCK2
EIF4E3
C15orf53
AIM1
AF131217.1
CRIP1
P2RY10
LINC00540
RP11-277P12.20
AC131056.3
TRG-AS1
PLEKHF1
LINC00649
PERP
KLRC3
CD7
SIT1
ZNF683
TIGIT
TRGV10
SNTB1
GFI1
LINC01550
TNIP3
SLAMF7
ATP2A3
SLFN5
CD5
MCOLN2
ST8SIA1
RP11-747H7.3
CFH
CHRM3-AS2
GBP5
CXCR3
EOMES
GZMM
KLRC2
RP3-370M22.8
AC069363.1
CST7
RASGRF2
ICOS
RP11-326C3.2
KLRB1
ST8SIA6
PHLDB2
MLLT3
CD40LG
FASLG
ANO9
LINC01138
ISG20
INPP4B
CXCR6
FCMR
IL2RG
CBLB
AHNAK
PPP2R2B
CLIC5
RP11-81H14.2
GOLGA8B
KLF12
KLRC1
RP11-291B21.2
MMP25-AS1
FGFBP2
TRBV18
TTC39C
HS3ST3B1
CTD-2506J14.1
IQGAP2
SLC14A1
APBA2
CCR2
DOCK9
ARHGEF3
ARL4C
FAM117A
GALNT3
SLC9A3R1
IFNG-AS1
ZFYVE28
LIME1
LINC00243
ABCB1
KLRD1
CTSW
LAX1
MSC-AS1
PRR5L
RORA
ABCD2
VAV3
S100A6
CD27
PITPNC1
KCNA3
CTC-499J9.1
RP11-1094M14.5
PPIAL4G
GPR68
PLXDC2
HPGD
PARP8
NCALD
SLC1A3
ZBP1
ERN1
C10orf11
DIAPH1
ARHGAP24
OXNAD1
MEF2A
RNF144A
DOCK4
MEF2C
FCRL6
PDE7A
NA
ICAM3
SRGAP2
ATP8B2
FRMD4A
RP11-404F10.2
STK17B
RP11-223C24.1
EPB41L2
COLGALT2
TRABD2A
CD70
PDCD1
PRKCH
TSPAN5
SLC8A1
TRIM59
BMP2K
CYTIP
THRA1/BTR
VIM-AS1
ATP8A1
UBE2E2
QKI
CNN2
FGD4
PDLIM1
NMUR1
SH2D1A
RP1-153P14.8
AC007278.3
AC007278.2
KIF21A
LINC00152
GNAO1
DUSP2
SLCO2B1
ADAM28
WDFY3
PLCB1
EMB
ATP8B4
TBXAS1
LHFPL2
SH3RF3
RP11-973H7.1
ZFHX3
FAM107B
RHOH
OBSCN
TUBA4A
ITPR3
CAPN2
GNAQ
PCNX1
OASL
ARHGAP22
CCR5
YPEL1
ADD3
CMTM8
SYK
LPAR3
GAB2
BIRC3
LPCAT2
LSP1
PATJ
PAM
VIM
CDC42SE2
SHTN1
PALD1
TLR2
SRGAP2B
CSF1R
CYFIP1
MARCH1
MDGA1
RGS9
SNTB2
PIP4K2A
SRGAP1
HDAC9
PTPRC
RBM47
LEXM
