VIM
MUSK
ARHGAP6
PER3
ARHGAP10
TNS1
LAMB1
LEPROTL1
ZBTB16
MAN1A1
AHNAK
LGALS3
STARD13
CPM
SDCBP
CH25H
TET1
ARSG
PTPRG
IQGAP2
FARP1
UTRN
MERTK
FCHO2
COPG2
PDLIM5
PLSCR2
TNFRSF11B
ZNF667-AS1
ZNF608
PRKCE
ZNF519
LPL
LONRF3
RTTN
ZHX2
KCNE1
CHST15
ANXA2
CADM1
CABCOCO1
TPRG1
LRRK2
MT-ND3
MT-ND4
LINC00862
MT-ND4L
LINC02642
AC067959.1
AC006369.2
SBF2-AS1
LINC02698
CTD-2336H13.2
AC131056.3
RP11-711K1.8
CCL4L2
LINC01202
RP11-114N19.3
RP11-38B6.1
RP11-7F3.1
FLT1
CCND3
NHSL1
