FGR
FYN
VIM
CD44
PRKCH
VCAN
MSR1
ARHGAP6
PER3
FNIP2
MCF2L2
SYNE2
CDK14
EYA2
RAB27A
TFRC
IPCEF1
FOSL2
SLC1A3
TNS1
SLC22A17
PCSK5
HIF1A
NFKBIA
SYNDIG1
AQP9
PLAT
TRPS1
CPVL
SERPINE1
DNM1
ZBTB16
MAN1A1
OPRM1
TANC1
STMN1
CTSD
ELL2
PLXDC2
TGFBI
TSHZ3
GTDC1
HIF3A
AHNAK
SH3BP5
MAP1B
LGALS3
PPARG
SNAP25
CHI3L1
STARD13
CEMIP2
CPM
ITM2C
PLXNC1
DRAM1
GPNMB
RNF144B
SDCBP
CH25H
CPNE8
IQGAP1
CACNA1A
RGL1
DUSP10
CAMKMT
RBMS3
PTPRG
SNCA
PDGFC
IQGAP2
RASGEF1C
ARHGAP18
CSGALNACT1
ZCCHC7
ARID5B
THRB
ACSL1
PARP8
GRID2
PDE3B
ANKRD22
FARP1
UTRN
MERTK
RBMS1
NRGN
PRKCA
UCHL1
DISP1
FCHO2
MYO1E
C1QC
RUNX1
BTG2
CALM3
VSNL1
CDC42EP3
NEK10
IL15
RANBP3L
TNFRSF11B
NFIL3
CKB
RBPJ
CX3CR1
IL7R
FAM110B
ALCAM
RNF150
PRKCE
GAP43
KLHL6
BNC2
C1QB
OLR1
SH3PXD2B
LPL
LONRF3
SLC35E3
RTTN
MYO1D
METRNL
CD163
CD163L1
ZHX2
ALOX15B
KCNE1
CHST15
P2RY8
CADM1
PDE4B
DLEU7
CCK
MITF
TPRG1
DPYD
LRRK2
PAX8-AS1
FHIT
S100A4
SRGAP1
PELI1
SIPA1L1
MT-ND2
MT-ND5
MT-CO1
GK
MT-ND3
MT-ND4
MT-ND1
LINC00862
LILRB3
LINC02397
TMSB4X
TRBC1
MT-ND4L
SLC8A1-AS1
LINC00578
MT-ATP8
CCDC26
RP3-525N10.2
LNCAROD
DIRC3
LINC02642
AC067959.1
RNASEH2B-AS1
RP11-666F17.1
LINC01871
AC006369.2
NEAT1
MEF2C-AS2
FMN1
CTD-2015H6.3
RP11-360F5.1
AC008697.1
RP11-120A1.1
RP11-624C23.1
RP11-649G15.2
RP11-452H21.1
MTRNR2L8
RP11-513G19.1
RP1-78O14.1
RP11-136F16.1
CLEC5A
RP11-370I10.2
MTRNR2L12
RMRP_ENSG00000269900
LINC02712
AC131056.3
CH507-513H4.1
CH507-528H12.1
RP11-114N19.3
RP11-452F19.4
PEBP1
FLT1
NAMPT
SLC16A10
CCND3
NHSL1
IFITM3
RASGRP3
AGFG1
MT-CO2
MT-CYB
MT-ATP6
MT-CO3
MEG3
MIR181A1HG
RP11-142C4.6
RP11-707P17.1
