CAMK1G
VIM
CD44
PRKCH
ARHGAP6
PER3
ARHGAP10
TNS1
SEMA5B
LAMB1
PCSK5
MAP1LC3A
TRPS1
LEPROTL1
MAN1A1
CTSD
ELL2
HSDL2
TSHZ3
AHNAK
STRIP2
LGALS3
PPARG
STARD13
KHDC1
TESPA1
CPM
ITM2C
TMEM8B
SDCBP
TET1
IQGAP1
PTPRG
IQGAP2
ADAMTS19
TNFRSF21
LATS2
FARP1
MERTK
GRAMD2B
TSPAN7
FCHO2
PDLIM5
CDC42EP3
PLSCR2
INTU
TNFRSF11B
NFIL3
ZNF667-AS1
ZNF608
SDC2
PRKCE
GAP43
KLHL6
LPL
LONRF3
MYO1D
CASC2
ZHX2
RFLNA
KCNE1
CHST15
ANXA2
CADM1
CABCOCO1
LRRK2
LHFPL5
MT-ND5
MT-ND3
MT-ND4
LINC00862
C2orf72
TMEM231
MT-ND4L
LINC01645
RP3-525N10.2
DIRC3
AC067959.1
LINC01762
AC006369.2
SBF2-AS1
PCAT1
LINC02698
CTD-2336H13.2
LINC02664
AC131056.3
CCL4L2
LINC01202
RP11-69G16.2
RP11-413G22.3
HIVEP1
MT-CYB
