RPL11
RPS8
RPS27A
RPL32
RPL14
MECOM
APBB2
RPS23
BAIAP2L1
TMSB4X
RPS6
RPLP2
PLEKHA7
RPS3
RPS24
RPL6
TPT1
RPL23A
RPL19
RPS15
RPS11
RPS4X
RPS25
